tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
2025-02-01 00:12:18,2025-02-01 00:32:33,,3.12,246,79,1,19.8,5.11,30.66
2025-02-01 00:40:04,2025-02-01 00:49:15,,1.4,114,79,1,10.0,3.15,18.9
2025-02-01 00:06:09,2025-02-01 00:11:51,,0.4,211,144,1,6.5,1.0,13.25
2025-02-01 00:15:13,2025-02-01 00:20:19,0.0,0.7,113,249,1,7.2,2.0,14.95
2025-02-01 00:02:52,2025-02-01 00:20:25,1.0,4.19,113,263,1,19.8,5.11,30.66
2025-02-01 00:33:47,2025-02-01 00:41:49,1.0,1.57,162,236,1,-10.5,3.15,18.9
2025-02-01 00:37:12,2025-02-01 00:39:49,1.0,0.3,164,186,1,4.4,3.0,13.15
2025-02-01 00:12:12,2025-02-01 00:23:30,1.0,1.41,45,249,1,11.4,3.43,20.58
2025-02-01 00:29:30,2025-02-01 00:44:51,1.0,2.72,114,186,1,16.3,2.0,24.05
2025-02-01 00:15:18,2025-02-01 00:26:00,1.0,2.2,158,48,2,12.8,0.0,18.55
2025-02-01 00:43:54,2025-02-01 00:54:17,1.0,ERROR,246,234,1,11.4,4.25,21.4
2025-02-01 00:06:56,2025-02-01 00:27:14,1.0,3.97,237,41,1,22.6,0.0,27.6
2025-02-01 00:32:24,2025-02-01 00:40:49,2.0,1.1,233,164,2,9.3,0.0,15.05
2025-02-01 00:42:12,2025-02-01 01:05:35,1.0,7.9,164,40,1,34.5,12.05,52.3
2025-02-01 00:57:26,2025-02-01 01:01:39,1.0,1.08,246,100,1,7.2,2.44,14.64
2025-02-01 00:43:45,2025-02-01 00:51:18,1.0,1.0,79,107,1,7.2,2.6,15.55
2025-02-01 00:53:44,2025-02-01 01:05:53,1.0,1.8,137,4,1,10.7,3.3,19.75
2025-02-01 00:14:51,2025-02-01 00:50:29,1.0,10.13,140,17,1,47.8,10.56,63.36
2025-02-01 00:23:59,2025-02-01 00:41:09,2.0,3.2,144,100,1,18.4,4.0,28.15
2025-02-01 00:05:55,2025-02-01 00:13:01,1.0,0.61,79,148,1,7.9,2.46,16.11
2025-02-01 00:14:39,2025-02-01 00:26:04,1.0,2.43,148,256,1,14.2,1.0,20.95
2025-02-01 00:35:37,2025-02-01 00:39:24,1.0,0.37,79,148,1,5.8,2.31,13.86
2025-02-01 00:42:43,2025-02-01 00:47:21,1.0,0.53,148,144,1,6.5,2.45,14.7
2025-02-01 00:50:12,2025-02-01 01:01:02,1.0,3.39,148,229,1,15.6,0.0,21.35
2025-02-01 00:35:12,2025-02-01 00:49:54,1.0,4.37,140,7,1,19.8,4.96,29.76
2025-02-01 00:07:03,2025-02-01 00:14:40,2.0,0.69,4,148,1,8.6,2.87,17.22
2025-02-01 00:17:46,2025-02-01 00:39:34,1.0,6.57,148,236,2,30.3,0.0,36.05
2025-02-01 00:46:15,2025-02-01 01:03:18,1.0,3.99,113,236,1,19.8,4.0,29.55
2025-02-01 00:15:23,2025-02-01 00:40:52,1.0,3.91,79,50,1,24.0,3.0,32.75
2025-02-01 00:26:06,2025-02-01 00:30:02,1.0,0.77,79,224,1,5.8,2.31,13.86
2025-02-01 00:55:40,2025-02-01 01:03:35,1.0,1.65,144,107,1,10.0,1.0,16.75
2025-02-01 00:24:23,2025-02-01 00:56:24,1.0,4.65,140,211,2,28.9,0.0,34.65
2025-02-01 00:28:30,2025-02-01 00:40:15,1.0,0.96,249,79,1,11.4,3.43,20.58
2025-02-01 00:42:37,2025-02-01 00:47:52,1.0,0.98,148,224,1,7.2,2.59,15.54
2025-02-01 00:15:03,2025-02-01 00:27:06,2.0,1.6,158,79,1,10.7,4.1,20.55
2025-02-01 00:32:59,2025-02-01 00:45:06,4.0,1.4,79,249,2,11.4,0.0,17.15
2025-02-01 00:48:34,2025-02-01 00:59:24,1.0,1.6,249,232,2,10.0,0.0,15.75
2025-02-01 00:16:41,2025-02-01 00:39:34,2.0,6.8,148,263,1,30.3,4.0,40.05
2025-02-01 00:26:36,2025-02-01 00:45:45,1.0,4.0,43,231,1,19.8,5.11,30.66
2025-02-01 00:36:32,2025-02-01 00:50:41,1.0,3.16,249,33,1,17.7,4.69,28.14
2025-02-01 00:17:06,2025-02-01 00:21:03,4.0,0.9,140,141,1,6.5,2.3,13.8
2025-02-01 00:02:41,2025-02-01 00:15:16,1.0,1.78,87,79,1,12.8,2.0,20.55
2025-02-01 00:46:43,2025-02-01 00:56:28,1.0,2.02,79,233,1,12.1,3.57,21.42
2025-02-01 00:05:57,2025-02-01 00:12:14,1.0,1.0,107,233,1,7.2,2.6,15.55
2025-02-01 00:26:41,2025-02-01 00:39:32,1.0,2.0,148,90,1,12.1,1.0,18.85
2025-02-01 00:53:31,2025-02-01 01:03:15,1.0,1.2,249,158,1,9.3,3.0,18.05
2025-02-01 00:24:27,2025-02-01 00:32:11,3.0,2.42,107,141,1,11.4,3.43,20.58
2025-02-01 00:17:43,2025-02-01 00:34:33,2.0,3.49,170,236,2,19.1,0.0,24.85
2025-02-01 00:04:26,2025-02-01 00:09:39,1.0,0.66,158,249,1,6.5,3.67,15.92
2025-02-01 00:18:36,2025-02-01 00:27:04,1.0,1.28,158,246,1,10.0,3.15,18.9
2025-02-01 00:32:17,2025-02-01 00:49:08,1.0,3.66,246,232,1,19.8,2.0,27.55
2025-02-01 00:12:35,2025-02-01 00:27:50,1.0,2.0,158,79,1,13.5,4.8,24.05
2025-02-01 00:30:36,2025-02-01 00:31:28,1.0,0.0,4,4,2,3.0,0.0,8.75
2025-02-01 00:03:33,2025-02-01 00:15:20,1.0,1.9,107,68,1,12.1,3.55,21.4
2025-02-01 00:28:44,2025-02-01 00:39:42,1.0,1.1,161,48,1,10.0,0.0,15.75
2025-02-01 00:34:46,2025-02-01 00:52:19,1.0,3.6,148,255,1,19.8,5.11,30.66
